
SOLN       COLUMN
 #      1 2 3 4 5 6 7 8

 1      6 1 5 2 8 3 7 4
 2      6 2 7 1 3 5 8 4
 3      6 2 7 1 4 8 5 3
 4      6 3 1 7 5 8 2 4
 5      6 3 1 8 4 2 7 5
 6      6 3 1 8 5 2 4 7
 7      6 3 5 7 1 4 2 8
 8      6 3 5 8 1 4 2 7
 9      6 3 7 2 4 8 1 5
10      6 3 7 2 8 5 1 4
11      6 3 7 4 1 8 2 5
12      6 4 1 5 8 2 7 3
13      6 4 2 8 5 7 1 3
14      6 4 7 1 3 5 2 8
15      6 4 7 1 8 2 5 3
16      6 8 2 4 1 7 5 3

SOLN       COLUMN
 #      1 2 3 4 5 6 7 8

 1      5 1 4 6 8 2 7 3
 2      5 1 8 4 2 7 3 6
 3      5 1 8 6 3 7 2 4
 4      5 2 4 6 8 3 1 7
 5      5 2 4 7 3 8 6 1
 6      5 2 6 1 7 4 8 3
 7      5 2 8 1 4 7 3 6
 8      5 3 1 6 8 2 4 7
 9      5 3 1 7 2 8 6 4
10      5 3 8 4 7 1 6 2
11      5 7 1 3 8 6 4 2
12      5 7 1 4 2 8 6 3
13      5 7 2 4 8 1 3 6
14      5 7 2 6 3 1 4 8
15      5 7 2 6 3 1 8 4
16      5 7 4 1 3 8 6 2
17      5 8 4 1 3 6 2 7
18      5 8 4 1 7 2 6 3

SOLN       COLUMN
 #      1 2 3 4 5 6 7 8

 1      5 3 1 6 8 2 4 7
 2      5 3 1 7 2 8 6 4
 3      5 3 8 4 7 1 6 2
 4      6 3 1 7 5 8 2 4
 5      6 3 1 8 4 2 7 5
 6      6 3 1 8 5 2 4 7
 7      6 3 5 7 1 4 2 8
 8      6 3 5 8 1 4 2 7
 9      6 3 7 2 4 8 1 5
10      6 3 7 2 8 5 1 4
11      6 3 7 4 1 8 2 5
12      7 3 1 6 8 5 2 4
13      7 3 8 2 5 1 6 4
14      8 3 1 6 2 5 7 4
